CODE;DATE_COLLECTE;DATE_HEURE_DEBUT;DATE_HEURE_FIN;MISSION;IMMAT;LIBELLE_CIRCUIT;TEMPS_D_ACTIVITE;TEMPS_D_ARRET;TEMPS_DE_MOTEUR_OFF;TEMPS_DE_PAUSE;TEMPS_DE_MARCHE_ARRIERE;TEMPS_DE_SERVICE;KM_D_ACTIVITE;KM_DE_HLP;KM_DE_MARCHE_ARRIERE;KM_DE_SERVICE;SOURCE;CODE_CIRCUIT;SECTEUR_CIRCUIT;TOURNEE_CIRCUIT;JOURS_CIRCUIT;FLUX_CIRCUIT
AUTO38875;12/12/2023;12/12/2023;12/12/2023;Collecte;9tcc9i42vm;GS_T07_ST PAUL DE VARC_MAR_OMR_160002;23;215;313;;23;3645;0,02;26,53;0,02;26,55;GAM;160002;GS;T07;MAR;OMR
AUTO38899;12/12/2023;12/12/2023;12/12/2023;Collecte PAV;q730PF01SD;PAV_1771_ECH PDC SEY GRE_LUN_OMR_170001;0;209;;;;1003;0;4,22;;4,22;GAM;170001;PAV;1771;LUN;OMR
AUTO38900;12/12/2023;12/12/2023;;Collecte PAV;q730PF01SD;circuit libre;0;317;;;;0;0;4,26;;4,26;GAM;;circuit libre;;;
AUTO38442;5/12/2023;5/12/2023;5/12/2023;Collecte;uzqctwc7pp;NE_T19_GRE CONDORCET G RAMBAUD_MAR VEN_CS_110022;28;2336;3859;;28;22653;0,02;49,47;0,02;49,49;GAM;110022;NE;T19;MAR VEN;CS
AUTO38443;5/12/2023;5/12/2023;5/12/2023;Collecte;bba8ef2dvl;NO_T03_SASSENAGE FONT_MAR_OMR_130011;11738;181;259;;272;23525;16,69;52,23;0,16;68,92;GAM;130011;NO;T03;MAR;OMR
AUTO38444;5/12/2023;5/12/2023;5/12/2023;Collecte;chy6rxpckl;GS_T04_STGC VLH GAUCHE URIAGE_MAR_OMR;0;474;;;;16742;0;56,11;;56,11;GAM;;GS;T04;MAR;OMR
AUTO38468;5/12/2023;5/12/2023;5/12/2023;Collecte;o4d9t8p252;;5393;1812;3910;;284;17619;7,33;31,29;0,09;38,62;GAM;;;;;
AUTO38445;5/12/2023;5/12/2023;5/12/2023;Collecte;nlz4jniqc3;GS_T05_VLB VLH_MAR_OMR;13720;314;305;;361;20682;21,49;27,84;0,23;49,33;GAM;;GS;T05;MAR;OMR
AUTO38446;5/12/2023;5/12/2023;5/12/2023;Collecte;ukgs1JXztl;NO_T02_FONTAINE_MAR_OMR_131003;9068;602;;;62;15797;11,77;23,45;0,01;35,22;GAM;131003;NO;T02;MAR;OMR
AUTO38447;5/12/2023;5/12/2023;5/12/2023;Collecte;g4tx3nrqg0;NO_T14_GRE EAUX C_MAR VEN_OMR_151007;0;426;1408;;;21870;0;51,97;;51,97;GAM;151007;NO;T14;MAR VEN;OMR
AUTO38449;5/12/2023;5/12/2023;5/12/2023;Collecte;o9wlc4qekx; TEST NE_T08_SMH COLLECTIF_LUN_OMR_101014 estivale;0;;;;;11;0;0;;0;GAM;; TEST NE;T08;LUN;OMR
AUTO38448;5/12/2023;5/12/2023;5/12/2023;Collecte;87haddx1cc;GS_T03_VLH_MAR_OMR;915;957;;;915;23925;0,59;62,78;0,59;63,37;GAM;;GS;T03;MAR;OMR
AUTO38450;5/12/2023;5/12/2023;5/12/2023;Collecte;lwijga02re;GS_T02_VARCES EST_MAR_OMR_128013;86;967;1862;;86;20329;0;86,28;0;86,28;GAM;128013;GS;T02;MAR;OMR
AUTO38451;5/12/2023;5/12/2023;5/12/2023;Collecte;ux94b14wke;NO_T06_ST EGREVE N_MAR VEN_OMR_142006;9675;60;2095;;231;18445;18,22;37,41;0,1;55,63;GAM;142006;NO;T06;MAR VEN;OMR
AUTO38453;5/12/2023;5/12/2023;5/12/2023;Collecte;sjqx4xjr33;NO_T05_SEYSSINET D_MAR VEN_OMR_134009;10881;81;1551;;29;19885;14,29;44,91;0;59,2;GAM;134009;NO;T05;MAR VEN;OMR
AUTO38452;5/12/2023;5/12/2023;5/12/2023;Collecte;912yxz768z;GS_T01_GUA VARC VIF_MAR_OMR_160010;6715;60;1823;;59;19484;11,87;103,16;0,03;115,03;GAM;160010;GS;T01;MAR;OMR
AUTO38479;5/12/2023;5/12/2023;5/12/2023;Collecte;pgf8clwyux;;96;966;2598;;96;20781;0,03;62,59;0,03;62,62;GAM;;;;;
AUTO38455;5/12/2023;5/12/2023;5/12/2023;Collecte;48siz8x96i;NE_T10_GRE HUGO TEISSEIRE_MAR VEN_CS_110008;5179;301;503;;13;13888;5,35;22,09;0;27,44;GAM;110008;NE;T10;MAR VEN;CS
